,message,intent,label
563,I had some thoughts to share.,feedback,6
564,I'd like to select my schedule for a doctor's appointment,book_session,5
565,I'd like to book my consultation with a doctor,book_session,5
566,"No, that's sufficient",service_completion,1
567,I want to confirm my slot for a doctor's appointment,book_session,5
568,I'm interested in the details of my booking.,session_status,7
569,Please cancel my appointment at your hospital. I won't be able to make it.,session_cancelation,4
570,I'm at a dead end.,fallback,0
571,Can you simplify?,fallback,0
572,Can you assist me in canceling my appointment?,session_cancelation,4
573,"Hi there, amazing bot!",greeting,2
574,I want to provide feedback on the facilities and services at your hospital.,feedback,6
575,Is it possible to change the time of my last appointment?,session_reschedule,3
576,"I need to cancel my appointment, if it's convenient.",session_cancelation,4
577,Can I offer my thoughts?,feedback,6
578,Is there a platform or email where I can send my feedback regarding my hospital visit?,feedback,6
579,"I need to cancel my appointment, when you're free.",session_cancelation,4
580,How tall is the Eiffel Tower? Just testing your general knowledge.,fallback,0
581,Can you help me with changing the time of my last appointment?,session_reschedule,3
582,"Can you please cancel my appointment, if you're able to?",session_cancelation,4
583,"No, that's everything I was looking for.",service_completion,1
584,I'd like to reschedule my appointment.,session_reschedule,3
585,"Could you cancel my appointment, if that's okay?",session_cancelation,4
586,I'm looking to secure a time for a doctor's appointment,book_session,5
587,Book an apoointment,book_session,5
588,That's all I was looking for.,service_completion,1
589,"I want to cancel my appointment, if that's possible.",session_cancelation,4
590,I'm puzzled.,fallback,0
591,"No, I don't require any more assistance.",service_completion,1
592,What's the best diet for losing weight? A chatbot nutritionist might be helpful!,fallback,0
593,Greetings and salutations!,greeting,2
594,Can you provide me with session information?,session_status,7
