,text,symp,label
493,I've been experiencing persistent nausea and vomiting during my pregnancy.,symptom,0
494,I'm eagerly anticipating the upcoming art exhibition at the local gallery.,None,1
495,"I've had these red, itchy patches on my arms, and they're spreading.",symptom,0
496,I've been experiencing persistent nausea and vomiting during my pregnancy.,symptom,0
497,"I've been experiencing numbness and tingling in my hands and fingers, especially at night.",symptom,0
498,I grind my teeth at night.,symptom,0
499,I shared a tip with my sibling on how to improve their study habits.,None,1
500,"Frequent headaches, sometimes with visual disturbances, have been a recurring problem.",symptom,0
501,"I've noticed changes in my voice, with a nasal or congested quality.",symptom,0
502,"I've been experiencing pain and discomfort in my lower abdomen, and it's getting worse over time.",symptom,0
503,I've been feeling more forgetful and experiencing memory lapses.,symptom,0
504,"I've been experiencing persistent urinary hesitancy, and it's affecting my daily life.",symptom,0
505,"I've been feeling fatigued and weak, and I've lost my appetite.",symptom,0
506,"I've had a previous premature birth, and I'm concerned about the risk of another one.",symptom,0
507,"I've been experiencing difficulty in achieving orgasm, and it's affecting my sexual satisfaction.",symptom,0
508,"I've had episodes of visual disturbances, like tunnel vision.",symptom,0
509,"I've been getting frequent migraines, and they often come with nausea and sensitivity to light.",symptom,0
510,I want to know about the global response to the recent climate change summit. Any insights?,None,1
511,"The taste of freshly caught seafood by the seaside, with the salty breeze in the air, is a coastal indulgence.",None,1
512,I've been dealing with allergies to common household chemicals.,symptom,0
513,I'm interested in getting braces.,symptom,0
514,I joined a group of nature enthusiasts for a bird-watching expedition in a lush forest.,None,1
515,I offered advice on planning a surprise party to a friend who wanted to celebrate.,None,1
516,"I've noticed changes in my bowel habits, including diarrhea and constipation.",symptom,0
517,"My child has been experiencing frequent urinary tract infections, and it's causing discomfort.",symptom,0
518,I've been dealing with wheezing that's more pronounced when I'm outdoors.,symptom,0
519,"I've noticed changes in my hearing, with difficulty understanding conversations.",symptom,0
520,"I've been coughing up small amounts of blood, which is concerning.",symptom,0
521,What's the current state of international efforts to combat poverty and hunger?,None,1
522,"I've been feeling a sharp, stabbing pain in my chest, especially when I take a deep breath.",symptom,0
523,"I've had this persistent pain in my elbow joint, and it's making it hard to grip objects.",symptom,0
524,"I've been experiencing frequent urinary urgency and leakage, and it's causing me distress.",symptom,0
525,I shared my thoughts on a thought-provoking documentary I recently watched.,None,1
526,I've noticed that my breathing difficulties are worse when I'm around pets.,symptom,0
527,What's happening in the world of international business and trade?,None,1
528,"I've noticed that my wounds heal slowly, and I'm concerned about my blood sugar.",symptom,0
529,They're my forever love.,None,1
530,I shared my experiences and tips for solo traveling to a fellow adventurer.,None,1
531,I've noticed a gradual loss of peripheral vision.,symptom,0
532,I feel tired all the time.,symptom,0
533,"I've developed small, red spots on my shoulders.",symptom,0
534,I'm eager to explore the historic castles and fortresses that dot the picturesque landscapes of Scotland and delve into their legends.,None,1
535,Exploring food markets in foreign cities is a cultural experience.,None,1
536,"I attended a lively street food festival, savoring exotic flavors from around the world.",None,1
537,There's a heartwarming animated movie about the power of friendship and teamwork.,None,1
538,"I've been experiencing pain and discomfort in my arms, and it's affecting my daily activities.",symptom,0
539,The automotive industry is constantly innovating with new safety features.,None,1
540,"I've been experiencing persistent neck pain, and it's radiating to my shoulders.",symptom,0
541,"I outlined the steps to create a captivating cooking blog to an aspiring food blogger, focusing on recipes.",None,1
542,"I've had a recent neck injury, and I'm looking for rehabilitation.",symptom,0
543,"I guided my neighbor through the process of setting up a personal budget, tracking expenses.",None,1
544,"I've noticed a sudden onset of visual disturbances, like flashes.",symptom,0
545,"I shared my favorite study tips with a classmate, and we aced our exams.",None,1
546,"I spent a day at a serene Zen garden, finding tranquility in the carefully arranged stones.",None,1
547,"I outlined the steps to create a captivating social media marketing campaign to a marketing specialist, enhancing brand visibility.",None,1
548,The harmonious melodies of a live orchestra performing a symphony by Mozart evoke a sense of wonder and awe.,None,1
549,I've got a dental veneer.,symptom,0
550,"I clarified the procedures for conducting a virtual meeting to a remote team, ensuring smooth communication.",None,1
551,"I explained the principles of effective teamwork to a sports coach, improving player collaboration.",None,1
552,"I've been feeling extremely fatigued, and even simple tasks leave me exhausted.",symptom,0
553,I suggested a beautiful park for a picnic to a group of friends.,None,1
554,"I've been feeling more forgetful and experiencing memory lapses, which is concerning.",symptom,0
555,The vibrant colors of hot air balloons filling the sky during a festival create a mesmerizing spectacle.,None,1
556,I've been feeling discomfort or pain while wearing dental braces.,symptom,0
557,I've been dealing with persistent throat irritation and a need to cough.,symptom,0
558,I've noticed that my child's allergies worsen during outdoor playtime.,symptom,0
559,I'm planning to learn the art of pottery on my next adventure.,None,1
560,"I've been dealing with a persistent cough that produces yellow-green mucus, and it's been going on for a while.",symptom,0
561,"I've had a previous dental extraction, and I'm concerned about the healing process.",symptom,0
562,I've been feeling discomfort or pain from my wisdom teeth coming in.,symptom,0
563,I've been experiencing dryness and a gritty feeling in my eyes.,symptom,0
564,"I've noticed changes in my voice, with a breathy or weak quality.",symptom,0
565,"I've noticed changes in the color and texture of my vaginal discharge, and I'm concerned about infections.",symptom,0
566,"I've had these dry, itchy patches on my arms, and they're bothersome.",symptom,0
567,Have there been any recent developments in international climate change agreements?,None,1
568,"I've had recurring episodes of nosebleeds, and they're becoming more frequent.",symptom,0
569,I've been experiencing pain and discomfort in my lower abdomen and groin area.,symptom,0
570,"I described the fundamentals of time management to a busy entrepreneur, enhancing their productivity.",None,1
571,"I guided my friend through the process of creating a stunning flower arrangement, emphasizing color coordination.",None,1
572,I missed the game. Can you fill me in?,None,1
573,My skin feels tight and dry after using certain cleansers.,symptom,0
574,There's a mind-bending psychological thriller that will leave you questioning reality.,None,1
575,"I explained the principles of project management to a coworker, ensuring successful project execution.",None,1
576,"I've been experiencing pain in my shoulder, particularly when I raise my arm.",symptom,0
577,I've noticed that my breathing worsens when I lie down at night.,symptom,0
578,"I've been feeling extremely gassy, to the point where it's embarrassing and uncomfortable.",symptom,0
579,"I outlined the steps to plan an eco-conscious wedding ceremony to a couple, including sustainable venue options.",None,1
580,Car design can be inspired by both art and functionality.,None,1
581,Witnessing a meteor shower and feeling the vastness of the universe is humbling.,None,1
582,"I've had a sudden onset of coughing up blood, and it's alarming.",symptom,0
583,"My appetite has decreased, and I'm not enjoying food like I used to.",symptom,0
584,"I embarked on a scuba diving adventure, discovering vibrant coral reefs and marine life.",None,1
585,I've been feeling more down and less motivated than usual.,symptom,0
586,The evolution of electric car technology has come a long way.,None,1
587,"My hip has been aching, and it's particularly painful when I try to bear weight on it.",symptom,0
588,"I outlined the steps to create a captivating YouTube channel to a content creator, optimizing video content.",None,1
589,"I've been feeling a tight, constricting sensation in my chest, particularly during stressful situations, and it's unsettling.",symptom,0
590,I've been experiencing skin rashes and itching after using scented toiletries.,symptom,0
591,"I've been experiencing frequent indigestion, and it's often accompanied by belching and discomfort.",symptom,0
592,I described my experience of exploring a charming small town and its quaint shops.,None,1
593,"I've noticed changes in my urine specific gravity, and it's becoming denser than usual.",symptom,0
594,"I outlined the steps to create a personalized budget to a recent college graduate, fostering financial responsibility.",None,1
595,I've had a sudden onset of unexplained weight loss despite maintaining a regular diet.,symptom,0
596,Relaxing on a hammock by the beach and listening to the waves is pure serenity.,None,1
597,"I've had these small, raised bumps on my chest, and they're bothering me.",symptom,0
598,"My chest pain often occurs during moments of physical exertion, such as lifting objects or exercising, and it's unpredictable.",symptom,0
599,"My child has been experiencing persistent coughing and wheezing, and it's affecting his breathing.",symptom,0
600,"I instructed a group of aspiring writers on the art of storytelling, sharing tips on character development.",None,1
601,"My feet have been hurting, especially the arches, and I'm concerned about flat feet.",symptom,0
602,"I've been experiencing a burning sensation in my throat, particularly after meals, and it often accompanies chest discomfort.",symptom,0
603,I've been having trouble swallowing solid food; it feels like it gets stuck.,symptom,0
604,I've been experiencing persistent ear popping and crackling sounds.,symptom,0
605,"I attended a wine tasting event at a vineyard, sampling a variety of fine wines.",None,1
606,"I spent a day at a serene monastery, practicing meditation and finding inner peace.",None,1
607,"I've had a family history of post-traumatic stress disorder (PTSD), and I'm worried about my risk.",symptom,0
608,"I've noticed lumps or bumps on my genitals, and I'm worried about their significance.",symptom,0
609,"I joined a group of wildlife enthusiasts for a safari, capturing photos of majestic animals.",None,1
610,There's this heartwarming animated movie about a group of friends on an unforgettable adventure.,None,1
611,I watched a heart-pounding survival thriller set in the wilderness.,None,1
612,"I discussed the principles of effective storytelling with a group of aspiring writers, sharing plot development techniques.",None,1
613,"I've been getting hiccups more often than usual, and it's puzzling.",symptom,0
614,I described my experience of exploring a historic castle during my vacation.,None,1
615,"I provided insights into the world of sustainable fashion to a fashion-conscious group, discussing ethical brands.",None,1
616,I've noticed that my child's eczema worsens during pollen season.,symptom,0
617,"Imagine a world where magic is real, and an unlikely hero emerges; that's the essence of this fantasy film.",None,1
618,I've been dealing with a persistent lump on my eyelid.,symptom,0
619,I've noticed that my skin reacts to certain skincare products.,symptom,0
620,"My wrists have been swollen and warm to the touch, and I'm worried about inflammation.",symptom,0
621,"I've noticed some blood in my urine, and it's concerning.",symptom,0
622,I discussed the history of a famous landmark and its architectural details.,None,1
623,"I've had this persistent pain in my shoulder blade, and it's affecting my ability to lift objects.",symptom,0
624,I narrated my experience of visiting an animal sanctuary and interacting with animals.,None,1
625,"Recently, I've noticed a significant change in my bowel habits, with more frequent diarrhea and occasional constipation.",symptom,0
626,I'm planning to immerse myself in the world of fine wine tasting.,None,1
627,"I've had this dry, persistent cough that's been bothering me for a while now.",symptom,0
628,"I've been feeling disconnected from reality and experiencing hallucinations, and it's frightening.",symptom,0
629,"My daughter has been experiencing persistent joint pain, and I'm concerned it might be related to an autoimmune disorder.",symptom,0
630,I feel tired even with minimal activity.,symptom,0
631,"I'm experiencing a persistent, gnawing sensation in my stomach.",symptom,0
632,"I've noticed changes in my urinary habits, including blood in my urine, and it's worrisome.",symptom,0
633,"I've noticed changes in my voice, with a strained or effortful quality.",symptom,0
634,"The taste of authentic street tacos in Mexico City, with their flavorful fillings and handmade tortillas, is a culinary delight.",None,1
635,"My chest discomfort often occurs at night, and it's accompanied by a racing heart and anxiety.",symptom,0
636,"I've noticed changes in the volume and force of my ejaculations, and it's concerning.",symptom,0
637,I shared a tip with my sibling on how to ace a job interview.,None,1
638,"I asked a fellow gamer for game recommendations, and I discovered exciting titles.",None,1
639,"I've been experiencing changes in the volume and force of my ejaculations, and it's concerning.",symptom,0
640,They're the love that fills my soul.,None,1
641,"I've had a history of cataracts, and I need a consultation.",symptom,0
642,"I've been experiencing sensitivity to light, even on cloudy days.",symptom,0
643,"I've been feeling a continuous, heavy pressure in my chest, and it's not related to physical activity or exertion.",symptom,0
644,I've been dealing with persistent throat pain and difficulty swallowing solid foods.,symptom,0
645,"I've noticed that I'm coughing up pink, frothy mucus, especially when lying down at night.",symptom,0
646,"I've had episodes of sudden, intense pain in my lower back.",symptom,0
647,I had a memorable day at the wildlife sanctuary.,None,1
648,"I embarked on a snorkeling expedition, exploring a vibrant underwater world of coral and fish.",None,1
649,"I've noticed that my fingertips sometimes turn blue, and it's more pronounced when I'm cold.",symptom,0
650,"I've been experiencing persistent halitosis (chronic bad breath), and it's affecting my social interactions.",symptom,0
651,"I spent a night in a cozy mountain cabin, with a crackling fireplace and stargazing from the porch.",None,1
652,"I've been dealing with allergies to grass pollen, and it's affecting my outdoor activities.",symptom,0
653,I've been experiencing skin irritation and redness after wearing certain fabrics.,symptom,0
654,I've been dealing with a puffy face and swelling in my ankles.,symptom,0
655,Solving a challenging puzzle and experiencing the 'aha' moment is rewarding.,None,1
656,I've got a dental abscess.,symptom,0
657,"I instructed a group of aspiring chefs on culinary techniques, including knife skills and flavor pairing.",None,1
658,"I recommended a painting class to an artist friend, and they created beautiful artwork.",None,1
659,I've been experiencing persistent ear pain and pressure with changes in altitude.,symptom,0
660,"I described the plot of a movie to my coworker, convincing them to watch it.",None,1
661,"My sleep has been disrupted by frequent nightmares, and it's causing distress.",symptom,0
662,"Given my family's history of heart disease, I'm increasingly worried about my own heart health and would like an evaluation.",symptom,0
663,"I advised my coworker on planning an eco-friendly picnic, suggesting reusable utensils and containers.",None,1
664,Who's in the starting lineup?,None,1
665,I've had recurring episodes of ear itching and discomfort.,symptom,0
666,I shared a tip with my roommate on how to remove a tough stain from clothing.,None,1
667,I gave recommendations for healthy eating habits to someone starting a fitness journey.,None,1
668,"My ankle is sore and swollen, and I can't recall injuring it.",symptom,0
669,I described the benefits of practicing gratitude to someone seeking positivity.,None,1
670,I've gained weight unexpectedly.,symptom,0
671,I've been feeling more agitated and easily frustrated than usual.,symptom,0
672,I want to know about the global response to the recent economic summit. Any insights?,None,1
673,"I've noticed a change in the size and shape of my vulva, and it's causing me discomfort.",symptom,0
674,"I've noticed changes in the size and shape of my abdomen, and it's causing me discomfort.",symptom,0
675,"I've been experiencing episodes of forgetfulness, where I can't recall names or dates.",symptom,0
676,"The taste of freshly baked baguettes in a quaint French bakery, accompanied by creamy brie cheese, is a culinary experience.",None,1
677,I narrated my experience of joining a dance class and improving my dance skills.,None,1
678,I've been experiencing persistent ear popping and crackling sounds.,symptom,0
679,I've noticed that my asthma symptoms are triggered by allergens.,symptom,0
680,The taste of farm-fresh produce at a local farmers' market is divine.,None,1
681,I've been having frequent episodes of heartburn and regurgitation of stomach contents.,symptom,0
682,I've been experiencing eye fatigue and blurred vision after work.,symptom,0
683,I've noticed that my eyelashes are falling out more than usual.,symptom,0
684,I had a fantastic day at the water park.,None,1
685,Hybrid cars are a great choice for those who want to reduce their carbon footprint.,None,1
686,The taste of freshly caught seafood by the seaside is unmatched.,None,1
687,"I've been having frequent nausea and vomiting, which is interfering with my daily life.",symptom,0
688,Let me describe this heart-pounding survival movie set in the wilderness.,None,1
689,"Despite increased fluid intake, I'm constantly thirsty, and my mouth often feels dry.",symptom,0
690,"Savoring the smoky flavors of a barbecue feast, with ribs, brisket, and pulled pork.",None,1
691,I've been experiencing heavy bleeding and severe cramps during my menstrual periods.,symptom,0
692,The sight of a starry night sky takes my breath away.,None,1
693,"I've had a previous tooth extraction, and I'm concerned about the healing process.",symptom,0
694,"I've had a recent injury to my eye, and there's a visible deformity.",symptom,0
695,"I've noticed a lump in my breast during a self-examination, and it's causing me great concern.",symptom,0
696,"I've had a sudden allergic reaction to a medication, and I need guidance.",symptom,0
697,"I've been experiencing unexplained weight loss, increased thirst, and frequent urination.",symptom,0
698,I've had a sudden outbreak of hives after taking a new medication.,symptom,0
699,I'm pregnant and experiencing heavy bleeding and abdominal pain.,symptom,0
700,The fragrant aroma of blooming cherry blossoms in a Japanese garden during springtime is a sensory experience that never fails to captivate me.,None,1
701,I've been overeating due to stress.,symptom,0
702,"I've been getting frequent congestion in my nose, especially at night.",symptom,0
703,"I'm in my third trimester of pregnancy, and I've been having frequent contractions.",symptom,0
704,I talked about my favorite hiking trails with fellow hikers.,None,1
705,I called a pest control service to address an infestation issue in my home.,None,1
706,"I explained the principles of effective parenting to a new parent, focusing on communication and empathy.",None,1
707,"My son has been having behavioral changes, and he's become increasingly anxious.",symptom,0
708,I recommended a historical museum to a friend who enjoys learning about the past.,None,1
709,I've been experiencing persistent joint inflammation and stiffness.,symptom,0
710,"I've had a previous urinary tract surgery, and I'm worried about complications.",symptom,0
711,I've noticed that my breathing difficulties are worse during allergy season.,symptom,0
712,I'm looking forward to a weekend of snorkeling in pristine waters.,None,1
713,I've been experiencing chest pain that's relieved when I rest.,symptom,0
714,"I've noticed changes in my hair texture and quality, with increased brittleness and dryness.",symptom,0
715,"I've had a recent shoulder fracture, and I'm looking for rehabilitation.",symptom,0
716,I described my experience of visiting a botanical garden and admiring the diverse plants.,None,1
717,"I've had a history of ear trauma, and I'm concerned about potential damage.",symptom,0
718,"I've been experiencing persistent abdominal bloating, and it's causing me discomfort.",symptom,0
719,I reminisced about memorable family gatherings and celebrations.,None,1
720,"I've been dealing with allergies to tree nuts, and I'm worried about cross-contact.",symptom,0
721,I've been experiencing joint inflammation and swelling.,symptom,0
722,"My chest pain often worsens with deep breaths, and it feels like a sharp, stabbing sensation that's hard to ignore.",symptom,0
723,I've been experiencing eye strain and discomfort while using screens.,symptom,0
724,"I advised my coworker on planning an eco-conscious wedding, suggesting green wedding attire.",None,1
725,I've had persistent skin hives related to food allergies.,symptom,0
726,There's an inspiring sports documentary that showcases the power of determination.,None,1
727,What's the latest on the climate change summit happening overseas?,None,1
728,I shared my experience of attending a friend's wedding and the beautiful ceremony.,None,1
729,I've been dealing with chronic shoulder pain that affects my sleep.,symptom,0
730,"I discussed the principles of ethical leadership with a group of nonprofit leaders, fostering positive change.",None,1
731,"Savoring a cup of authentic Moroccan mint tea, prepared with precision and served with warmth, is a delightful taste of Moroccan hospitality.",None,1
732,I've had a recurring eye infection that doesn't seem to go away.,symptom,0
733,This romantic comedy is a feel-good film that'll make you smile.,None,1
734,Have you heard about the latest developments in international politics?,None,1
735,I've been experiencing muscle fatigue that affects my ability to walk.,symptom,0
736,I've been dealing with chronic pain in my shoulders and upper back.,symptom,0
737,I'm head over heels for them.,None,1
738,"I explored a charming countryside town, complete with a picturesque town square.",None,1
739,"I briefed my coworkers on the benefits of workplace diversity, emphasizing the value of varied perspectives.",None,1
740,"I've been pregnant before, and I'm concerned about a history of preterm labor.",symptom,0
741,I've been dealing with persistent hoarseness that doesn't improve with rest.,symptom,0
742,I want to make them feel treasured.,None,1
743,"I've had trouble with dental erosion, and I'm worried about the enamel damage.",symptom,0
744,"I've been experiencing persistent itching on my scalp, and it's leading to hair loss.",symptom,0
745,"My neck has been cracking, and I'm concerned about the sounds and discomfort.",symptom,0
746,"I've been dealing with allergies to seafood, and it's challenging when dining out.",symptom,0
747,I've got a dental question.,symptom,0
748,"I've been feeling a constant ache in my chest, and it doesn't seem to improve with rest.",symptom,0
749,"I've had a persistent pain in my neck, particularly on the left side.",symptom,0
750,Have there been any recent developments in international cultural exchanges?,None,1
751,"I've had chest pain that's relieved when I rest, but it returns when I exert myself.",symptom,0
752,"I've been having trouble keeping food down, and I often vomit shortly after eating.",symptom,0
753,"My mood has become increasingly withdrawn, and I've isolated myself from others.",symptom,0
754,Is there any news on international initiatives to combat wildlife trafficking?,None,1
755,They're the love that makes life worth living.,None,1
756,"I explored an underground cavern, discovering sparkling stalactites and stalagmites.",None,1
757,I want to be their safe haven.,None,1
758,I've noticed that my child's allergies lead to sleep disturbances.,symptom,0
759,"I've been feeling extremely self-critical and perfectionistic, and it's affecting my self-esteem.",symptom,0
760,"I've noticed that my skin is more prone to sunburn, even with sunscreen.",symptom,0
761,I've had recurring episodes of ear congestion and muffled hearing.,symptom,0
762,I've got a sensitive tooth.,symptom,0
763,"I've been experiencing a persistent earache, and it's affecting my hearing.",symptom,0
764,"I've been experiencing persistent headaches, and I suspect they might be related to kidney issues.",symptom,0
765,"I've noticed changes in the sensitivity of my genital area, and it's affecting my sexual experiences.",symptom,0
766,"I've been getting chest pains that seem to move from one side to the other, and it's hard to pinpoint the exact location.",symptom,0
767,"I've been experiencing aching in my calf muscles, especially after exercise.",symptom,0
768,I've got a retainer.,symptom,0
769,"My sleep has become disrupted by vivid, disturbing dreams.",symptom,0
770,"I've had a recent injury to my eye socket, and it's swollen.",symptom,0
771,"My feet have been feeling heavy, and I'm concerned about circulation problems.",symptom,0
772,I watched a heart-pounding thriller that will keep you on the edge of your seat.,None,1
773,"I instructed a group of writers on the art of character development in storytelling, creating memorable fictional personas.",None,1
774,They're my rock in times of trouble.,None,1
775,"My son has been complaining of frequent earaches, and I'm worried about possible infections.",symptom,0
776,"The prospect of attending a grand masquerade ball in a Venetian palace, adorned in an elaborate mask and gown, is a dream of elegance.",None,1
777,"I described the process of creating a visually appealing infographic to a graphic designer, emphasizing design principles.",None,1
778,Car enthusiasts often join car clubs to connect with like-minded individuals.,None,1
779,"I find inspiration in the brushstrokes of Impressionist paintings, where colors blend seamlessly to capture the essence of a moment.",None,1
780,"I ventured into a lush rainforest, where the canopy formed a green cathedral above.",None,1
781,"I've had a history of adrenal issues, and I'm concerned about hormonal imbalances.",symptom,0
782,"My ankles have been giving way unexpectedly, and it's causing frequent falls.",symptom,0
783,I explained how to make a quick and delicious smoothie to a health-conscious friend.,None,1
784,I've been experiencing eye strain and dryness while using screens.,symptom,0
785,I watched an emotional war movie that portrays the resilience of humanity.,None,1
786,Reading a good book is a great way to relax.,None,1
787,Spending time in nature is so refreshing.,None,1
788,I had a great workout at the gym.,None,1
789,They're my partner in this beautiful journey.,None,1
790,"I've noticed changes in my sense of touch, and some areas of my skin feel numb.",symptom,0
791,I feel like I'm in a fog.,symptom,0
792,I love spending time with my friends and family.,None,1
793,"I recommended a humorous improv workshop to my theater buddy, and we had a hilarious time on stage.",None,1
794,I've noticed that my breathing problems are triggered by strong odors.,symptom,0
795,Who's the captain of the team?,None,1
796,"I've been dealing with persistent muscle twitches, and they're bothersome.",symptom,0
797,I exchanged ideas about home decor and DIY projects with neighbors.,None,1
798,"I've had a family history of obsessive-compulsive disorder, and I'm worried about its genetic link.",symptom,0
799,"My daughter has been experiencing frequent mood swings, and her behavior has become unpredictable.",symptom,0
800,I cherish the moments we laugh together.,None,1
801,I explained the scientific method to my younger sibling in a way they could understand.,None,1
802,I've noticed that my child's allergies worsen during specific outdoor activities.,symptom,0
803,I called a home cleaning service to schedule a deep clean for my house.,None,1
804,"I've noticed changes in my ability to taste, and some flavors are muted.",symptom,0
805,"I've noticed changes in the sensitivity of my genitals, and it's affecting my sexual experiences.",symptom,0
806,My skin feels tight and uncomfortable after using certain skincare products.,symptom,0
807,I'm looking forward to a weekend of camping.,None,1
808,"I've been dealing with persistent joint pain, and it's limiting my mobility.",symptom,0
809,I've been having disturbing thoughts.,symptom,0
810,"I've noticed changes in my appetite, and I've been unintentionally gaining or losing weight.",symptom,0
811,"I went on a culinary adventure, trying dishes from around the world at a food festival.",None,1
812,I spent the day exploring an art museum. It was like a journey through history and creativity.,None,1
813,I had the chance to attend a traditional tea ceremony. The rituals and flavors were fascinating.,None,1
814,"My stomach feels tender to the touch, and it's painful.",symptom,0
815,"I've noticed changes in my appetite, and I've been unintentionally losing weight.",symptom,0
816,"I'm captivated by the intricate details of Renaissance art, where every brushstroke tells a story.",None,1
817,"My child has been experiencing persistent abdominal discomfort, and I'm concerned about digestive issues.",symptom,0
818,"My child has been complaining of persistent muscle cramps, and I'm not sure what's causing them.",symptom,0
819,"I've had persistent fatigue and low energy levels, and it's affecting my daily life.",symptom,0
820,"I've had trouble with persistent bad breath, and it's affecting my confidence.",symptom,0
821,Have you heard about any international cultural festivals or exhibitions?,None,1
822,"I've had occasional bouts of indigestion, especially after heavy meals.",symptom,0
823,"My skin has developed a rough texture, and it's affecting my overall complexion.",symptom,0
824,I'm curious about the global response to the recent public health crisis. Any insights?,None,1
825,"My sense of taste has changed, and some foods taste metallic or bitter.",symptom,0
826,I've been dealing with persistent itching and discomfort in my throat.,symptom,0
827,I want to make them happy forever.,None,1
828,"I've been pregnant before, and I'm concerned about a history of placental problems.",symptom,0
829,They're my partner in crime.,None,1
830,"I shared my favorite one-liners with a friend, and they had witty comebacks for days.",None,1
831,I offered advice on choosing a restaurant for a dinner date to a couple.,None,1
832,Who's leading the league table?,None,1
833,I'm looking forward to a weekend of wine tasting in Napa Valley.,None,1
834,"I often feel dizzy and lightheaded, especially when I stand up quickly.",symptom,0
835,"I've been having persistent eye pain and redness, along with increased sensitivity to light.",symptom,0
836,"I've noticed changes in my urine volume, and it's becoming too frequent.",symptom,0
837,"I discussed the principles of wildlife conservation with a group of scouts, promoting habitat protection.",None,1
838,They make me a better person.,None,1
839,"My daughter has been experiencing persistent back pain, and I'm not sure if it's related to her posture.",symptom,0
840,My heart rate rises under stress.,symptom,0
841,I recommended a scenic bike trail to a cyclist for an enjoyable ride.,None,1
842,I've been dealing with chest pain that's relieved when I change positions.,symptom,0
843,Who's the sports analyst for this match?,None,1
844,I shared my experience of attending a live concert and feeling the energy of the crowd.,None,1
845,I want to create a lifetime of memories together.,None,1
846,I've had recurring episodes of earwax blockage and difficulty hearing.,symptom,0
847,I like to try new restaurants and cuisines.,None,1
848,I've been experiencing throbbing pain.,symptom,0
849,"My stools have changed in color and consistency, and it's unusual for me.",symptom,0
850,I'm interested in global education initiatives. Can you provide updates on that?,None,1
851,"I've been experiencing frequent and severe migraines, and I'm concerned about the underlying cause.",symptom,0
852,I suggested a fun outdoor activity to a group of friends for the weekend.,None,1
853,I suggested a scenic route for a road trip to a group of travelers.,None,1
854,"I outlined the steps to organize a successful charity event to a group of volunteers, including fundraising strategies.",None,1
855,"I explained the principles of sustainable gardening to a fellow plant lover, discussing eco-friendly practices.",None,1
856,"I've been experiencing chest tightness and discomfort, and it feels harder to take deep breaths.",symptom,0
857,"My knees have been giving out unexpectedly, and I've fallen a few times.",symptom,0
858,I've been experiencing muscle stiffness in my wrists.,symptom,0
859,"I've recently given birth, and I'm experiencing postpartum depression symptoms.",symptom,0
860,"I've had this persistent pain in my elbow joint, and it's making it hard to grip objects.",symptom,0
861,"I've been pregnant before, and I'm concerned about a history of pre-eclampsia.",symptom,0
862,"I've been experiencing frequent, severe abdominal cramps, and they're disabling.",symptom,0
863,"I've noticed changes in my voice, with a breathy or weak quality.",symptom,0
864,Who's the team's top defender?,None,1
865,I'm missing a tooth.,symptom,0
866,"I've had a history of ear trauma, and I'm concerned about potential damage.",symptom,0
867,Is there any news on international collaborations in scientific research?,None,1
868,I'm having trouble in my relationships.,symptom,0
869,"I instructed a group of volunteers on disaster preparedness, emphasizing safety measures.",None,1
870,"I attended a traditional Mexican fiesta, with lively mariachi music and delicious street food.",None,1
871,Exploring a bustling market and haggling with vendors is an adventure in itself.,None,1
872,"I attended a traditional dance performance, where the intricate moves told a cultural story.",None,1
873,"There's this sharp, intermittent pain in my lower right abdomen that's been concerning me.",symptom,0
874,"I took a leisurely stroll through a historic district, admiring the charming architecture.",None,1
875,I suggested a scenic walking trail to a neighbor for some outdoor exercise.,None,1
876,I explored a historic lighthouse and climbed to the top for panoramic coastal views.,None,1
877,"Breakfast is my favorite meal of the day, especially pancakes with syrup.",None,1
878,"I outlined the key points of a novel's plot to my book club, sparking a lively discussion.",None,1
879,"I yearn for the tranquility of a cabin in the forest, where the scent of pine trees fills the air.",None,1
880,"My vision has become blurry, and it's affecting my ability to read and work.",symptom,0
881,I've had a persistent cough with mucus production for several weeks.,symptom,0
882,"I shared my knowledge of sustainable farming practices with a fellow gardener, focusing on organic methods.",None,1
883,"I suggested a new hairstyle to my friend, and they rocked the fresh look.",None,1
884,I've been having irregular vaginal bleeding between periods.,symptom,0
885,"I've had diarrhea for several days now, and it's not getting better.",symptom,0
886,"I explained the principles of disaster preparedness to a community group, emphasizing safety protocols.",None,1
887,I've been dealing with persistent nasal congestion and difficulty breathing through my nose.,symptom,0
888,I've been experiencing changes in my libido and sexual desire.,symptom,0
889,"I've been dealing with allergies to shellfish, and it's limiting my diet.",symptom,0
890,I recommended a delicious dessert recipe to my coworker for a sweet treat.,None,1
891,"I guided my teammate through the process of building a personal brand on social media, maximizing visibility.",None,1
892,"I've had a history of kidney stones, and I'm worried about their recurrence and potential complications.",symptom,0
893,"Pain in my wrists, especially when gripping objects, has become a daily issue.",symptom,0
894,Their presence is comforting.,None,1
895,"I've been feeling fatigued and weak, and it's affecting my daily life.",symptom,0
896,Attending a family reunion and reconnecting with loved ones is heartwarming.,None,1
897,"I've been getting a tingling sensation in my left arm, and it's accompanied by chest discomfort.",symptom,0
898,I recently watched a captivating historical epic that transported me to a bygone era.,None,1
899,I went on a spontaneous road trip with friends. We made unforgettable memories along the way.,None,1
900,I've been dealing with unexplained weight loss along with breathing problems.,symptom,0
901,"I've been feeling extremely sad and hopeless for an extended period, and it's affecting my daily life.",symptom,0
