,message,intent
469,I'm looking for the hospitals' location and the contact number. Could you assist?,contact_location
470,"No, I'm satisfied with the support received.",service_completion
471,How can I proceed with the payment for my confirmed appointment?,payment
472,"No, that covers all my requirements.",service_completion
473,Good morning!,greeting
474,Could you please arrange a consultation with one of your doctors for me?,book_session
475,"I've injured my knee while playing sports, and it's swollen and painful.",symptoms
476,I want to change the date of my appointment at your hospital and find a new one.,session_reschedule
477,How's my favorite AI today?,greeting
478,"What's the formula for calculating velocity? Oh, I see, you're not a physics expert.",fallback
479,"Hi, there, chatbot pal!",greeting
480,I need to reschedule my appointment at your hospital due to an emergency.,session_reschedule
481,Good afternoon!,greeting
482,Could you guide me on the steps to request hospital admission for a patient?,addmission_enqiry
483,I'm curious to know about the medical services and facilities available at your hospital.,medical_services
484,What's the process for making a payment for my appointment?,payment
485,I want to change the date of the appointment I made at your hospital.,session_reschedule
486,Please assist me in reserving a slot with one of your doctors.,book_session
487,I'd appreciate your assistance in facilitating the admission of a patient to your hospital.,addmission_enqiry
488,"I'm feeling sad, and I thought talking to a chatbot might cheer me up, but it seems it won't work.",fallback
489,Is there a feedback form available for my recent experience at your hospital?,feedback
490,Can you direct me to the feedback system for my recent hospital visit?,feedback
491,Could you please disclose the hospitals' location and the contact number?,contact_location
492,I've changed my plans and need to reschedule my appointment at your hospital.,session_reschedule
493,"Greetings, helpful bot!",greeting
494,Please cancel my appointment at your hospital. I won't be able to make it.,session_cancelation
495,Can you please supply me with the hospitals' location and the contact number?,contact_location
496,How do I proceed with the payment for this confirmed appointment?,payment
497,Is it possible to initiate the process for patient admission to your hospital?,addmission_enqiry
498,I have a patient who needs immediate medical care and would like to request admission.,addmission_enqiry
499,I'd appreciate the chance to give feedback on the hospital's discharge process.,feedback
500,Please share the hospitals' location and the contact number with me.,contact_location
501,"I have no more points to discuss, thank you.",service_completion
502,Could you please assist me in canceling my appointment at your hospital?,session_cancelation
503,"No, I don't need any further explanations.",service_completion
504,"No, that's all I wanted to clarify.",service_completion
505,"Hey, robot friend!",greeting
506,"What's the meaning of this dream I had last night? I know, it's a bit personal.",fallback
507,"No, I have no more matters to discuss.",service_completion
508,Is there a survey or questionnaire for me to provide feedback about my hospital experience?,feedback
509,What payment methods can I use to pay for this appointment?,payment
510,"Are you even a real chatbot, or just some random program generating automated responses?",fallback
511,I want to provide feedback about the cleanliness and hygiene at your hospital.,feedback
512,"My baby has developed a persistent rash on their skin, and it seems to be spreading.",symptoms
513,Can you please offer the hospitals' location and the contact number?,contact_location
514,I need to cancel my appointment at your hospital due to an emergency.,session_cancelation
515,Please enlighten me on the medical services and facilities available at your hospital.,medical_services
516,"I've noticed changes in my urine color, and I'm experiencing pain or discomfort in my lower back.",symptoms
517,I'm no longer able to make it to the appointment at your hospital. Can we cancel it?,session_cancelation
518,I want to change the date of my appointment with [doctor's name] at your hospital.,session_reschedule
519,"I am interested in having a patient admitted to your hospital, if possible.",addmission_enqiry
520,I've been experiencing sudden hair loss and the skin on my scalp is becoming scaly.,symptoms
521,Please enlighten me on the healthcare services and facilities at your hospital.,medical_services
522,Would you be able to give me the hospitals' location and the contact number?,contact_location
523,I've noticed sudden flashes of light and floating spots in my field of vision.,symptoms
524,Can you cancel the appointment I had reserved at your hospital?,session_cancelation
525,Please consider this as my formal request for patient admission to your hospital.,addmission_enqiry
526,I require the hospitals' location and the contact number. Could you share them?,contact_location
527,Tell me about the various healthcare services and facilities at your hospital.,medical_services
528,"I want to book a consultation with one of your doctors, please guide me.",book_session
529,I'd like to give feedback about the hospital's pain management and comfort measures.,feedback
530,Tell me about the payment procedures for this appointment.,payment
531,"What's the best way to win the lottery? I know it's a long shot, but any tips?",fallback
532,"What's the meaning of life? I know it's a deep question, but I thought I'd give it a shot.",fallback
533,"I'm looking to book a session with one of your doctors, can you guide me?",book_session
534,"I've noticed a gradual deformity in the alignment of my spine, and my posture has changed.",symptoms
535,I'd like to give feedback about the care I received during my hospital visit.,feedback
536,I have some feedback to share from my recent experience at your hospital.,feedback
537,I'm having difficulty controlling my urine flow and often experience leakage.,symptoms
538,Tell me about the healthcare services and facilities that I can avail at your hospital.,medical_services
539,Tell me a joke or something amusing; I could use a good laugh right now.,fallback
540,Could you guide me on how to proceed with the request for hospital admission for a patient?,addmission_enqiry
541,"I've been experiencing unexplained weight loss, increased thirst, and frequent urination.",symptoms
542,I want to change the date of my previously arranged appointment at your hospital.,session_reschedule
543,"I've been coughing persistently, and the cough is often accompanied by mucus production.",symptoms
544,"I've had persistent sinus congestion, facial pain, and post-nasal drip.",symptoms
545,I'm interested in initiating the process for patient admission to your hospital.,addmission_enqiry
546,How should I go about making the payment for this appointment?,payment
547,"That's the conclusion of our conversation, thanks.",service_completion
548,"Please, I need to reserve a session with one of your doctors.",book_session
549,"I've been having persistent tremors or involuntary movements, especially in my hands.",symptoms
550,"I've noticed weakness or numbness in one side of my body, along with difficulty speaking.",symptoms
551,My baby is experiencing difficulty breathing and requires assistance with respiratory support.,symptoms
552,Can you provide information on the payment methods for this appointment?,payment
553,I'd like to express my feedback regarding the service I received at your hospital.,feedback
554,I'd like to learn more about the healthcare services and facilities available at your hospital.,medical_services
555,"I've had a fever, sore throat, and body aches for the past few days.",symptoms
556,"I'm satisfied with the resolution, thanks.",service_completion
557,Can you please furnish me with the hospitals' location and the contact number?,contact_location
558,"If you could, please provide me with the hospitals' location and the contact number.",contact_location
559,Please let me know the steps required to request admission for a patient at your hospital.,addmission_enqiry
560,I'd like to reschedule the appointment I had previously booked at your hospital.,session_reschedule
561,???,fallback
562,Please consider this as my formal request to admit a patient to your hospital.,addmission_enqiry
563,I'm hoping you can assist me in scheduling a doctor's appointment.,book_session
564,Can you help me cancel the appointment I made at your hospital?,session_cancelation
565,I'm hoping to request admission for a patient in my care to your hospital.,addmission_enqiry
566,Tell me what medical services and facilities I can find at your hospital.,medical_services
567,"That covers all my requirements, thanks.",service_completion
568,"I've noticed blood in my urine, and I've had a persistent dull ache in my back.",symptoms
569,I've had sudden episodes of dizziness and fainting.,symptoms
570,"No, I have no more issues to address.",service_completion
571,I'd appreciate it if you could brief me about the healthcare services and facilities you offer.,medical_services
572,I'd appreciate the opportunity to give feedback about my recent hospital experience.,feedback
573,"I need help with my personal problems, but I guess you're just a chatbot, not a therapist.",fallback
574,I require the hospitals' location and the contact number. Could you share them?,contact_location
575,Please reschedule the appointment I had set for [date/time] at your hospital.,session_reschedule
576,Can you share information on the healthcare services and facilities you offer?,medical_services
577,I'd like to reschedule the appointment I had scheduled with [doctor's name] at your hospital.,session_reschedule
578,I need to reschedule my appointment at your hospital due to personal reasons.,session_reschedule
579,Tell me what medical services and facilities I'll find at your hospital.,medical_services
580,I feel a pounding sensation in my chest and it's accompanied by shortness of breath.,symptoms
581,"Can you teach me how to fly? I'm just kidding, of course.",fallback
582,Please reschedule my appointment at your hospital due to unforeseen circumstances.,session_reschedule
583,Can you cancel the appointment I made for [date/time] at your hospital?,session_cancelation
584,Is there a specific way to provide feedback about my recent hospital stay?,feedback
585,Good evening!,greeting
586,I have a patient in need of hospitalization and would like to request admission.,addmission_enqiry
587,I'd like to learn more about the medical services and facilities available at your hospital.,medical_services
588,"I'm lost, can you help me find my way home? I hope you have a digital GPS.",fallback
589,"I've developed a persistent rash on my skin that is red, itchy, and has spread to different areas.",symptoms
590,"I've been experiencing persistent joint pain and stiffness, particularly in my knees and hips.",symptoms
591,I'd like to know the steps to pay for my upcoming appointment.,payment
592,How can I settle the payment for my upcoming appointment?,payment
593,"No, that's the end of my inquiries.",service_completion
594,Tell me how to make a secure payment for this appointment.,payment
595,Could you help me schedule an appointment with one of your doctors?,book_session
596,Can you tell me about the meaning of life according to some famous philosopher?,fallback
597,I need to cancel my appointment at your hospital and find a new suitable time.,session_cancelation
598,Hello there!,greeting
599,Please share the hospitals' location and the contact number with me.,contact_location
600,"I'm looking to reserve a slot with one of your doctors, can you provide available dates?",book_session
601,I want to provide feedback on the facilities and services at your hospital.,feedback
602,"I've been having persistent eye pain and redness, along with increased sensitivity to light.",symptoms
603,Could you provide guidance on how to request hospital admission for a patient?,addmission_enqiry
604,How tall is the Eiffel Tower? Just testing your general knowledge.,fallback
605,Do you like pizza? I wonder if AI chatbots have food preferences.,fallback
606,What's the secret to eternal youth? Just curious if you have any age-defying secrets.,fallback
607,I'm interested in knowing the accepted payment options for this appointment.,payment
608,"I've been experiencing persistent back pain, especially after sitting for long periods.",symptoms
609,Please cancel the appointment I had set at your hospital. I'll need to schedule another one later.,session_cancelation
610,I'd be grateful if you could give me the hospitals' location and contact number.,contact_location
611,I'd be grateful if you could provide me with the hospitals' location and the contact number.,contact_location
612,Can you cancel the appointment I had booked at your hospital? I need to change the date.,session_cancelation
613,"I'm done with my questions, thanks.",service_completion
614,"No, I don't have any other queries.",service_completion
